D,Dp,N,vol avg por,n,l,l_alt,k1,k2,k2_alt,por_alt
0.26,0.027559055118110236,9.434285714285714,0.39143350491468887,63,0.021369163711077954,0.02203982777179763,0.707819462976204,1.2896646537376375,1.2504206204993606,0.40995196526918054
0.26,0.03149606299212599,8.254999999999999,0.373357904013412,56,0.027535902610407465,0.02830482115085536,0.8217767914825773,1.143818070456922,1.1127455221943416,0.39038103668968605
0.26,0.03543307086614173,7.337777777777778,0.38521141553605953,45,0.03211257580068962,0.03271812080536912,0.8357635058465382,1.1034017042438806,1.0829800121138706,0.39658988554265673
0.26,0.03346456692913386,7.769411764705882,0.3819314227504389,48,0.02870266651574003,0.02971428571428571,0.7951791051511098,1.1659044608549693,1.126211387038159,0.40297349136267113
0.26,0.03937007874015748,6.604,0.3863374590176741,34,0.033343424242925676,0.03389570552147239,0.779587357991284,1.180744918497999,1.161506395410981,0.39633619860771585
0.26,0.043307086614173235,6.003636363636363,0.3848926497813795,29,0.03776469937574658,0.03839103869653768,0.8045800115268872,1.1467610580791785,1.1280519643267406,0.39492795835937555
0.26,0.047244094488188976,5.503333333333334,0.415784229895908,21,0.037380977344506607,0.03791666666666666,0.6933741678134242,1.2638539129884956,1.2459980963917971,0.4240380712114846
0.26,0.05905511811023623,4.402666666666667,0.4209972725039066,12,0.04209546476400832,0.04285714285714285,0.6190840784048433,1.4028855232102921,1.377952755905512,0.4312875920165481
0.26,0.06692913385826772,3.884705882352941,0.414113524856157,11,0.05551199965125852,0.05585937499999999,0.7289141797218506,1.2056696620322587,1.1981719068333245,0.4177570049098812
0.602,0.25,2.408,0.4519985284900592,5,0.2622551734093717,0.2684563758389262,0.8622973256365825,0.9532700413492252,0.93125,0.46465707700062175
0.602,0.125,4.816,0.3827331808783763,19,0.11059270129467101,0.11259259259259259,0.8191824593547534,1.1302735039172356,1.1101973684210527,0.39369719291177785
0.602,0.1875,3.2106666666666666,0.4230474803777554,7,0.1471219729622244,0.1497326203208556,0.6790591439388087,1.2744527294243344,1.2522321428571428,0.43310687537251236
0.602,0.11023622047244094,5.461,0.38846747444390217,21,0.08462300369117876,0.08615384615384615,0.7041658215279655,1.3026743989699832,1.279527559055118,0.39933361680685364
1.029,0.25,4.116,0.3934967193107789,12,0.19464628045684215,0.19534883720930232,0.708321646026174,1.284381080456511,1.2797619047619049,0.3956779607316373
1.029,0.125,8.232,0.3505482112336604,56,0.10603497544533377,0.10834715312327252,0.826375253697203,1.1788563110899537,1.1536989795918369,0.3644078086997278
1.029,0.1875,5.4879999999999995,0.36996181309576237,22,0.14492310002939499,0.14779270633397312,0.7304566974644919,1.2937896026373232,1.2686688311688312,0.382194903605519
1.029,0.09375,10.975999999999999,0.3455430353310512,95,0.0753068240217448,0.07746971109040075,0.7885612074900765,1.2449071012864619,1.2101503759398493,0.36381490553620166
1.029,0.3125,3.2927999999999997,0.4287865021587245,6,0.20182773459823644,0.20792079207920794,0.5533762859579484,1.54835013444545,1.5029761904761902,0.44552574522070654
1.029,0.4375,2.352,0.4787020045509857,3,0.30342220722859176,0.30882352941176466,0.5423087602387895,1.4418852331081915,1.4166666666666667,0.48781950421892106
1.029,0.46875,2.1952,0.4637466555147861,2,0.24185875641652116,0.23333333333333334,0.4150322144684613,1.9381146539624732,2.0089285714285716,0.4441532841940251
1.59,0.25,6.36,0.3520605048444715,31,0.19713410204596232,0.20083841463414634,0.7663858233455955,1.268172261447245,1.2447817836812143,0.36401125855191574
1.59,0.125,12.72,0.3317780294159514,136,0.1048244732974123,0.10799701046337817,0.8405521933467821,1.1924696215295532,1.1574394463667819,0.35140782312687757
1.59,0.1875,8.48,0.3466342683481172,61,0.16229001151160385,0.1658138791173649,0.8482778568885724,1.155339125640481,1.1307859209257474,0.3605195615982242
1.59,0.3125,5.088,0.37943796244802064,18,0.233427413607192,0.2375776397515528,0.6953097187611249,1.3387459303553357,1.315359477124183,0.39027851459400265
1.59,0.4375,3.6342857142857143,0.4067865466380367,9,0.33502728821506894,0.3370044052863436,0.6814035243859023,1.3058637770400041,1.2982026143790848,0.4102667754633994
1.59,0.28125,5.653333333333333,0.36541814739802897,22,0.2033888394630605,0.2073170731707317,0.6883566215735136,1.3828192379802662,1.3566176470588236,0.37744217313571926
