D,Dp,N,por pg,por nl,rel err,n,n_alt,l,l_alt
0.26,0.03149606299212599,8.254999999999999,0.4028629699144393,0.3982262170084657,0.011576121564651267,29.906976744186046,30.176470588235293,0.015313346370475999,0.015571315204491466
0.26,0.03543307086614173,7.337777777777778,0.413968423699322,0.39991691333137425,0.03452945944255981,22.35,22.074074074074073,0.01634009452652098,0.016525320909828004
0.26,0.03346456692913386,7.769411764705882,0.40692696364920666,0.40416282158018413,0.006815871977085214,23.863636363636363,23.821428571428573,0.014802214608490924,0.014844900645226396
0.26,0.03937007874015748,6.604,0.41612857611577614,0.3972351952663381,0.04645739462266268,17.62162162162162,17.46153846153846,0.017593768806291748,0.017998080075391755
0.26,0.043307086614173235,6.003636363636363,0.3993677307936373,0.40072301944503286,0.0033878373196822254,15.34375,15.708333333333334,0.020508923660714287,0.020948860172357527
0.26,0.047244094488188976,5.503333333333334,0.42927790179666236,0.42331464483882386,0.013988527066934374,12.0,12.157894736842104,0.021639486787840136,0.02215329463539977
0.26,0.05905511811023623,4.402666666666667,0.4306210703146695,0.43114951649009625,0.0012264196144964599,14.0,14.0,0.04998786363636364,0.04994146940928716
0.26,0.06692913385826772,3.884705882352941,0.44720405985388123,0.4243361506461809,0.05247700320006908,5.818181818181818,6.0,0.029883123571428572,0.03209179910395659
0.602,0.25,2.408,0.4664703573139925,0.4650761007217229,0.002993423634951225,3.725,4.0,0.20015666666666668,0.21549501199731494
0.602,0.1875,3.2106666666666666,0.4411560773623547,0.4329635436976551,0.01874465111483213,3.9368421052631577,4.0,0.08418924014336916,0.08679386605499138
0.602,0.4375,1.376,0.6101659195908407,0.6159392060048942,0.009417278002566708,1.0,1.0,0.40109750000000005,0.395157406858245
1.029,0.25,4.116,0.4706464998852952,0.3956179850674003,0.17322311169663623,7.166666666666667,7.304347826086956,0.11665508928571429,0.1357480732577178
1.029,0.1875,5.4879999999999995,0.3924471281166538,0.3834330633198836,0.02323571318422425,13.025,13.72,0.08767571324143693,0.09372422131518814
1.029,0.3125,3.2927999999999997,0.45224865995743807,0.40621696692315223,0.10724178486109308,4.208333333333333,6.833333333333333,0.13617908279220778,0.23970506679603953
1.029,0.4375,2.352,0.4704580465027122,0.4900579877662741,0.04081127344944044,1.7,2.0,0.17576819444444447,0.19913233485196732
1.029,0.46875,2.1952,0.466347943065038,0.47359914533565406,0.015428958417125094,3.0,3.0,0.36957833333333334,0.3645565457940347
